Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Halfeti Leather Penhaligon's (unisex) ~ 2020,0.47856,39,26,https://fimgs.net/mdimg/perfume/270x270.61523.jpg
The Library Collection Silver Oud Amouage (unisex) ~ 2021,0.45478,40,30,https://fimgs.net/mdimg/perfume/270x270.69051.jpg
Brioni Eau de Parfum Intense Brioni (male) ~ 2021,0.44093,41,33,https://fimgs.net/mdimg/perfume/270x270.69857.jpg
XJ 1861 Decas Xerjoff (unisex) ~ 2021,0.38951,52,56,https://fimgs.net/mdimg/perfume/270x270.66198.jpg
Bon Viveur Naughton & Wilson (male) ~ 2021,0.3726,58,69,https://fimgs.net/mdimg/perfume/270x270.67558.jpg
Sloth Zoologist Perfumes (unisex) ~ 2020,0.36596,62,77,https://fimgs.net/mdimg/perfume/270x270.59597.jpg
Nuit de Feu Louis Vuitton (unisex) ~ 2020,0.42215,41,36,https://fimgs.net/mdimg/perfume/270x270.60031.jpg
Spell 125 Papillon Artisan Perfumes (unisex) ~ 2021,0.37599,53,61,https://fimgs.net/mdimg/perfume/270x270.68369.jpg
Fils de Joie Serge Lutens (unisex) ~ 2020,0.35532,64,84,https://fimgs.net/mdimg/perfume/270x270.62872.jpg
Exit The King Etat Libre d'Orange (unisex) ~ 2020,0.40166,43,42,https://fimgs.net/mdimg/perfume/270x270.62701.jpg
XX Artisan John Varvatos (male) ~ 2020,0.4815,31,19,https://fimgs.net/mdimg/perfume/270x270.63479.jpg
L.12.12 Eau de Parfum Blanc For Him Lacoste Fragrances (male) ~ 2021,0.44093,35,27,https://fimgs.net/mdimg/perfume/270x270.65874.jpg
Sticky Fingers Francesca Bianchi (unisex) ~ 2020,0.45877,33,23,https://fimgs.net/mdimg/perfume/270x270.61631.jpg
Le Male On Board Jean Paul Gaultier (male) ~ 2021,0.42573,35,29,https://fimgs.net/mdimg/perfume/270x270.65595.jpg
Bergamotto di Calabria La Spugnatura Acqua di Parma (unisex) ~ 2021,0.49506,26,14,https://fimgs.net/mdimg/perfume/270x270.66175.jpg
Ameer Al Oudh Intense Oud Lattafa Perfumes (unisex) ~ 2021,0.35598,49,61,https://fimgs.net/mdimg/perfume/270x270.64947.jpg
War and Peace Part II Areej Le Doré (unisex) ~ 2020,0.37253,37,40,https://fimgs.net/mdimg/perfume/270x270.63106.jpg
This is Him! Art 4 All Zadig & Voltaire (male) ~ 2021,0.42306,28,22,https://fimgs.net/mdimg/perfume/270x270.67836.jpg
