Perfume Name,Final Z-Score,Number of Categories,Img Url
Aventus Creed (male) ~ 2010,0.8038545930597042,3,https://fimgs.net/mdimg/perfume/270x270.9828.jpg
Gucci pour Homme (2003) Gucci (male) ~ 2003,0.8018355644060919,3,https://fimgs.net/mdimg/perfume/270x270.691.jpg
Declaration Cartier (male) ~ 1998,0.8016004720286167,3,https://fimgs.net/mdimg/perfume/270x270.307.jpg
Au Coeur du Désert Tauer Perfumes (unisex) ~ 2016,0.8015774237563151,3,https://fimgs.net/mdimg/perfume/270x270.41053.jpg
Versace Pour Homme Versace (male) ~ 2008,0.800766124571302,3,https://fimgs.net/mdimg/perfume/270x270.2318.jpg
Acqua di Gio Giorgio Armani (male) ~ 1996,0.8004526680680016,3,https://fimgs.net/mdimg/perfume/270x270.410.jpg
Shalimar Millésime Tonka Guerlain (female) ~ 2022,0.7997427812811151,1,https://fimgs.net/mdimg/perfume/270x270.76063.jpg
Emporio Armani Stronger With You Absolutely Giorgio Armani (male) ~ 2021,0.798719437990928,5,https://fimgs.net/mdimg/perfume/270x270.64501.jpg
Encre Noire A L'Extreme Lalique (male) ~ 2015,0.7984612973411511,3,https://fimgs.net/mdimg/perfume/270x270.32356.jpg
Soleil Neige Tom Ford (unisex) ~ 2019,0.7971014492753623,1,https://fimgs.net/mdimg/perfume/270x270.56737.jpg
Drakkar Noir Guy Laroche (male) ~ 1982,0.796728067264078,3,https://fimgs.net/mdimg/perfume/270x270.2069.jpg
Terre d'Hermes Eau Givree Hermès (male) ~ 2022,0.7947920123907513,3,https://fimgs.net/mdimg/perfume/270x270.72439.jpg
Terre d'Hermes Flacon H 2019 Parfum Hermès (male) ~ 2019,0.7942111959287531,1,https://fimgs.net/mdimg/perfume/270x270.53462.jpg
Azzaro pour Homme Azzaro (male) ~ 1978,0.7934506029428035,3,https://fimgs.net/mdimg/perfume/270x270.829.jpg
Valentino Uomo Valentino (male) ~ 2014,0.7925286720507431,3,https://fimgs.net/mdimg/perfume/270x270.19558.jpg
Gentleman (1974) Givenchy (male) ~ 1974,0.7908645867905741,3,https://fimgs.net/mdimg/perfume/270x270.2965.jpg
Jaipur Homme Eau de Parfum Boucheron (male) ~ 1997,0.7903759634177823,3,https://fimgs.net/mdimg/perfume/270x270.64096.jpg
Spicebomb Viktor&Rolf (male) ~ 2012,0.7901961868938305,3,https://fimgs.net/mdimg/perfume/270x270.13857.jpg
L'Homme Yves Saint Laurent (male) ~ 2006,0.7900164103698788,3,https://fimgs.net/mdimg/perfume/270x270.734.jpg
Gentleman Eau de Parfum Givenchy (male) ~ 2018,0.7891636242947228,3,https://fimgs.net/mdimg/perfume/270x270.48476.jpg
Intense Cedrat Boise Mancera (male) ~ 2021,0.7889607994984695,3,https://fimgs.net/mdimg/perfume/270x270.72796.jpg
Lalique White in Black Lalique (male) ~ 2021,0.7885828078327249,2,https://fimgs.net/mdimg/perfume/270x270.66242.jpg
Bentley for Men Intense Bentley (male) ~ 2013,0.7884675664712172,3,https://fimgs.net/mdimg/perfume/270x270.17666.jpg
Armani Code Giorgio Armani (male) ~ 2004,0.7883753733820112,3,https://fimgs.net/mdimg/perfume/270x270.412.jpg
Rouge Trafalgar Dior (female) ~ 2020,0.7878775307002986,1,https://fimgs.net/mdimg/perfume/270x270.58665.jpg
Prada Amber Pour Homme (Prada Man) Prada (male) ~ 2006,0.7868265294833499,3,https://fimgs.net/mdimg/perfume/270x270.1044.jpg
Chergui Serge Lutens (unisex) ~ 2001,0.7865407309068113,3,https://fimgs.net/mdimg/perfume/270x270.2762.jpg
Dior Homme Cologne 2022 Dior (unisex) ~ 2022,0.7860244496072573,2,https://fimgs.net/mdimg/perfume/270x270.72062.jpg
Royal Oud Creed (unisex) ~ 2011,0.7857524799940996,3,https://fimgs.net/mdimg/perfume/270x270.12317.jpg
Narciso Rodriguez for Him Bleu Noir Parfum Narciso Rodriguez (male) ~ 2022,0.7848835601283329,2,https://fimgs.net/mdimg/perfume/270x270.71783.jpg
Bleu de Chanel Chanel (male) ~ 2010,0.783632038942361,3,https://fimgs.net/mdimg/perfume/270x270.9099.jpg
